"name";"total_products_matched";"total_items_matched"
"soft simple h";1;1
"sol over gudhjem";1;1
"solar glasflaske";1;1
"somersby 33cl ds.";1;1
"sommer vafler";1;1
"sort rotunden";1;1
"sourcr.onion";1;1
"spangsberg petit floe";1;1
"spareribs";1;1
"special k";1;1
"speltflakes oeko";1;1
"spidser";1;1
"spillekort";1;1
"spiraler";1;1
"spiseligt stoev pink 10g";1;1
"sports sok";1;1
"sportsbrus";1;1
"springform";1;1
"squeezy vanilje";1;1
"stabile sandspartel";1;1
"starb. holiday blend";1;1
"stedmoder";1;1
"stedmoder 10-box";1;1
"stikprop flad h";1;1
"stimo. 60min";1;1
"stolpe ru";1;1
"stor softice";1;1
"stracciatella 900ml";1;1
"sukkervafler";1;1
"sunjoy orange lt";1;1
"super reds";1;1
"svaneke solskinsale";1;1
"t. tuscan risotto";1;1
"tabasco";1;1
"tabouleh salat";1;1
"tabs 5i1";1;1
"taco mix";1;1
"taerte skink/por";1;1
"taffel party";1;1
"tandkrus";1;1
"tarteletter";1;1
"tasty ml";1;1
"thairet panang";1;1
"thairet tom yum";1;1
"toerret surdej";1;1
"toersleff vaniljesuk";1;1
"toilet oekonomikoeb";1;1
"tommestok meter";1;1
"traeinstrument";1;1
"trim plaenegoedning";1;1
"trippevals moerklaegni";1;1
"trope";1;1
"tuc trio";1;1
"tvillingeringe";1;1
"ullvide fosyet la";1;1
"ultra mini plus(g)";1;1
"uni rengoering";1;1
"universalgoedn.";1;1
"urtekram paprika";1;1
"urtekram rosmarin";1;1
"vaegskinne eleme";1;1
"vafler";1;1
"vaniljeis, ov";1;1
"vaniljepulver 10g";1;1
"variera n boks";1;1
"vaseline";1;1
"vasketoejsbalje";1;1
"vej selv groent";1;1
"velour baand";1;1
"vildmo. kg";1;1
"vitakraft turkey";1;1
"voltaren gel g";1;1
"walkie-talkier graa";1;1
"wb sprk./o";1;1
"wc duck citrus";1;1
"wd ml";1;1
"white rum";1;1
"wienerschnit";1;1
"wiz fjernbetjening";1;1
"x-maxi tr.";1;1
"xshot skumsvaerd as";1;1
"yellow tail";1;1
"yo. peach/me";1;1
"z bechamel 500ml";1;1
"zimpel+ omega3 f";1;1
"zymelin";1;1
